timestamp,channel 1,channel 2,channel 3,channel 4
11/02/2021 18:18:43,>Range,54655.2,>Range,>Range
11/02/2021 18:18:44,>Range,54623.1,>Range,>Range
11/02/2021 18:18:45,>Range,54614.7,>Range,>Range
11/02/2021 18:18:46,>Range,54619,>Range,>Range
11/02/2021 18:18:47,>Range,54611.2,>Range,>Range
11/02/2021 18:18:48,>Range,54626.1,>Range,>Range
11/02/2021 18:18:49,>Range,54721.1,>Range,>Range
11/02/2021 18:18:50,>Range,54782.4,>Range,>Range
11/02/2021 18:18:51,>Range,54796.8,>Range,>Range
11/02/2021 18:18:52,>Range,54790.7,>Range,>Range
11/02/2021 18:18:53,>Range,54783.3,>Range,>Range
11/02/2021 18:18:54,>Range,54793.3,>Range,>Range
