RH,Temperature,"_id","_index","_score","_type","all_emission",date,device,"device.keyword",emission,"emission_voc",id,"max_voc",methane,operator,region,"short_name","short_name.keyword",site,status,"status.keyword","wind_direction","wind_direction_std","wind_speed"
"49.5",19,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 02:45","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T08:45","0.528","4.47",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,149,"21.2","0.3"
"48.4","19.3","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 02:30","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T08:30","0.537","4.26",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,44,"11.5","0.6"
"47.8","19.9","Site Map",methanemizer,"-","_doc","0, 0, 0.334, 0, 0, 0, 0, 0, 0","Oct 25, 2021 @ 02:00","Stanford-3","Stanford-3","0.33",0,"Stanford:2021-10-25T08:00","0.542","4.81",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,271,"13.4","0.3"
"47.9",20,"Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 01:15","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T07:15","0.534","4.08",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,140,"14.6","0.4"
"47.2","20.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 01:00","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T07:00","0.554","4.26",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,140,"24.9","0.3"
"45.8","21.2","Site Map",methanemizer,"-","_doc","-","Oct 25, 2021 @ 00:00","Stanford-6","Stanford-6",0,0,"Stanford:2021-10-25T06:00","0.548","4.05",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,30,"9.5","0.7"
"44.8","21.8","Site Map",methanemizer,"-","_doc","-","Oct 24, 2021 @ 23:45","Stanford-3","Stanford-3",0,0,"Stanford:2021-10-25T05:45","0.576","3.67",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,33,"83.7","0.1"
"42.5",24,"Site Map",methanemizer,"-","_doc","-","Oct 24, 2021 @ 23:15","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T05:15","0.571","3.48",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,134,"9.5","1.2"
"40.7","24.8","Site Map",methanemizer,"-","_doc","-","Oct 24, 2021 @ 23:00","Stanford-2","Stanford-2",0,0,"Stanford:2021-10-25T05:00","0.573","3.53",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,168,"5.8","1.5"
"38.7","25.6","Site Map",methanemizer,"-","_doc","-","Oct 24, 2021 @ 22:45","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T04:45","0.576","3.58",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,175,"8.3","2.1"
"37.9","25.9","Site Map",methanemizer,"-","_doc","-","Oct 24, 2021 @ 22:30","Stanford-8","Stanford-8",0,0,"Stanford:2021-10-25T04:30","0.557","3.58",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,191,"5.4","2.8"
