time,release_scfh
8/3/2021 17:20,43348.91
8/3/2021 17:20,43435.65
8/3/2021 17:20,43284.87
8/3/2021 17:21,43440.2
8/3/2021 17:21,43051.3
8/3/2021 17:21,43115.23
8/3/2021 17:21,43245.38
8/3/2021 17:21,43151.69
8/3/2021 17:21,42918.12
8/3/2021 17:22,43019.84
8/3/2021 17:22,43042.67
8/3/2021 17:22,42997.35
8/3/2021 17:22,42983.56
8/3/2021 17:22,42971.3
8/3/2021 17:22,42992.72
8/3/2021 17:23,42966.99
8/3/2021 17:23,42847.3
8/3/2021 17:23,42673.13
8/3/2021 17:23,42629.99
8/3/2021 17:23,42670.36
8/3/2021 17:23,42616.24
8/3/2021 17:24,42644.21
8/3/2021 17:24,42634.01
8/3/2021 17:24,42427.32
8/3/2021 17:24,42419.69
8/3/2021 17:24,42419.15
8/3/2021 17:24,42487.63
8/3/2021 17:25,42231.93
8/3/2021 17:25,42382.7
8/3/2021 17:25,42172.27
8/3/2021 17:25,42285.52
8/3/2021 17:25,42298.28
8/3/2021 17:25,42296.34
8/3/2021 17:26,42160.5
8/3/2021 17:26,42106.45
8/3/2021 17:26,42063.95
8/3/2021 17:26,42087.13
8/3/2021 17:26,41912.16
8/3/2021 17:26,42035.21
8/3/2021 17:27,41958.62
8/3/2021 17:27,41860.98
8/3/2021 17:27,41901.93
8/3/2021 17:27,41766.52
8/3/2021 17:27,41649.56
8/3/2021 17:27,41798.54
8/3/2021 17:28,41690.76
8/3/2021 17:28,41756.72
8/3/2021 17:28,41543.33
8/3/2021 17:28,41736.93
8/3/2021 17:28,41642.76
8/3/2021 17:28,41541.57
8/3/2021 17:29,41519.29
8/3/2021 17:29,41579.33
8/3/2021 17:29,41409.48
8/3/2021 17:29,41333
8/3/2021 17:29,41611.98
8/3/2021 17:29,41386.03
8/3/2021 17:30,41225.16
8/3/2021 17:30,41291.43
8/3/2021 17:30,41233.93
8/3/2021 17:30,41330.23
8/3/2021 17:30,41112.48
8/3/2021 17:30,41117.67
8/3/2021 17:31,41080.17
8/3/2021 17:31,41060.86
8/3/2021 17:31,40991.1
8/3/2021 17:31,40937.93
8/3/2021 17:31,41069.32
8/3/2021 17:31,41137.16
8/3/2021 17:32,41019.39
8/3/2021 17:32,40932.37
8/3/2021 17:32,0
8/3/2021 17:32,40956.8
8/3/2021 17:32,40694.47
8/3/2021 17:32,40892.35
8/3/2021 17:33,40819.18
8/3/2021 17:33,40784.18
8/3/2021 17:33,40775.36
8/3/2021 17:33,40609.06
8/3/2021 17:33,40631.64
8/3/2021 17:33,40758.31
8/3/2021 17:34,40732.86
8/3/2021 17:34,40436.36
8/3/2021 17:34,40557.84
8/3/2021 17:34,40390.52
8/3/2021 17:34,40511.08
8/3/2021 17:34,40465.93
8/3/2021 17:35,40453.94
8/3/2021 17:35,913.53
8/3/2021 17:35,0
8/3/2021 17:35,0
8/3/2021 17:35,0
8/3/2021 17:36,0
8/3/2021 17:36,0
8/3/2021 17:36,0
8/3/2021 17:36,0
8/3/2021 17:36,0
8/3/2021 17:36,0
8/3/2021 17:37,0
8/3/2021 17:37,0
8/3/2021 17:37,0
8/3/2021 17:37,0
8/3/2021 17:37,0
8/3/2021 17:37,0
8/3/2021 17:38,0
8/3/2021 17:38,0
8/3/2021 17:38,0
8/3/2021 17:38,0
8/3/2021 17:38,0
8/3/2021 17:38,0
8/3/2021 17:39,0
8/3/2021 17:39,0
8/3/2021 17:39,0
8/3/2021 17:39,0
8/3/2021 17:39,0
8/3/2021 17:39,0
8/3/2021 17:40,0
8/3/2021 17:40,0
8/3/2021 17:40,0
8/3/2021 17:40,0
8/3/2021 17:40,0
8/3/2021 17:40,0
8/3/2021 17:41,0
8/3/2021 17:41,0
